id,name,category,school_id,riasec_code,heat,employment_rate,intro,core_courses,career_paths,industry_outlook,suits
D931_859b5b98,市场营销,管理学,D931,EC,50.0,0.85,,,,,
D931_12431835,高速铁路客运服务,工学,D931,RI,50.0,0.85,,,,,
D931_1a35bacf,茶艺与茶文化,工学,D931,RI,50.0,0.85,,,,,
D931_35c26cb4,应用俄语,文学,D931,AS,50.0,0.85,,,,,
D931_d0435f11,飞机机电设备维修,工学,D931,RI,50.0,0.85,,,,,
B075_2c7dc49e,电气工程及其自动化,工学,B075,RI,50.0,0.85,,,,,
B075_b3956f6b,智能电网信息工程,工学,B075,RI,50.0,0.85,,,,,
B075_9aaf36a4,机械设计制造及其自动化,艺术学,B075,AE,50.0,0.85,,,,,
B075_afe1eaff,数据科学与大数据技术,理学,B075,IR,50.0,0.85,,,,,
B075_93824d33,通信工程,工学,B075,RI,50.0,0.85,,,,,
B075_49e833b7,医学影像学,医学,B075,IS,50.0,0.85,,,,,
B075_6160840f,水利水电工程,工学,B075,RI,50.0,0.85,,,,,
B075_f25bb6a7,光电信息科学与工程,理学,B075,IR,50.0,0.85,,,,,
B075_db068082,能源与动力工程,工学,B075,RI,50.0,0.85,,,,,
B075_24b7d9f3,储能科学与工程,理学,B075,IR,50.0,0.85,,,,,
B075_5f2ebb4c,临床医学,医学,B075,IS,50.0,0.85,,,,,
B075_6cc4a66e,中医学,医学,B075,IS,50.0,0.85,,,,,
B075_eba295c9,核工程与核技术,工学,B075,RI,50.0,0.85,,,,,
B075_76b7a70a,智能制造工程,工学,B075,RI,50.0,0.85,,,,,
B075_e4f6285f,材料成型及控制工程,工学,B075,RI,50.0,0.85,,,,,
B075_7358a7db,新能源材料与器件,工学,B075,RI,50.0,0.85,,,,,
B075_9bd3c246,物理学,理学,B075,IR,50.0,0.85,,,,,
B075_67f60883,港口航道与海岸工程,工学,B075,RI,50.0,0.85,,,,,
B075_bf991b45,数学与应用数学,理学,B075,IR,50.0,0.85,,,,,
B075_aa3f7342,英语,文学,B075,AS,50.0,0.85,,,,,
B075_5f81dfe7,人力资源管理,管理学,B075,EC,50.0,0.85,,,,,
B075_49935f0b,供应链管理,管理学,B075,EC,50.0,0.85,,,,,
B075_3cdf4106,地质工程,理学,B075,IR,50.0,0.85,,,,,
B075_13fefbb8,药学,医学,B075,IS,50.0,0.85,,,,,
B075_83b0ada5,城乡规划,工学,B075,RI,50.0,0.85,,,,,
B075_ef03e947,制药工程,工学,B075,RI,50.0,0.85,,,,,
B075_d6fb2099,建筑学,工学,B075,RI,50.0,0.85,,,,,
B075_0f68690e,投资学,经济学,B075,IE,50.0,0.85,,,,,
B075_00b3121e,工程管理,管理学,B075,EC,50.0,0.85,,,,,
B075_c9d36cc2,化学工程与工艺,理学,B075,IR,50.0,0.85,,,,,
B075_4818f88c,护理学,医学,B075,IS,50.0,0.85,,,,,
B075_dd53ad73,生物工程,工学,B075,RI,50.0,0.85,,,,,
B075_79534ba3,化学,理学,B075,IR,50.0,0.85,,,,,
B075_db8cb124,生物科学,理学,B075,IR,50.0,0.85,,,,,
B075_49ba25b1,土木工程,工学,B075,RI,50.0,0.85,,,,,
D236_3e090082,法学,法学,D236,SE,50.0,0.85,,,,,
D236_5f2ebb4c,临床医学,医学,D236,IS,50.0,0.85,,,,,
D236_6160840f,水利水电工程,工学,D236,RI,50.0,0.85,,,,,
D236_2c7dc49e,电气工程及其自动化,工学,D236,RI,50.0,0.85,,,,,
D236_9fd779fd,大数据与会计,管理学,D236,EC,50.0,0.85,,,,,
D236_6ce5acd1,发电厂及电力系统,工学,D236,RI,50.0,0.85,,,,,
D236_94275a41,水利水电建筑工程,工学,D236,RI,50.0,0.85,,,,,
D236_d90e2085,输配电工程技术,工学,D236,RI,50.0,0.85,,,,,
D236_54c9cf51,生物制药技术,工学,D236,RI,50.0,0.85,,,,,
D236_ed875a16,计算机应用技术,工学,D236,RI,50.0,0.85,,,,,
D236_d1517b39,智能机电技术,工学,D236,RI,50.0,0.85,,,,,
D236_a9cc3c82,护理,医学,D236,IS,50.0,0.85,,,,,
E258_9fd779fd,大数据与会计,管理学,E258,EC,50.0,0.85,,,,,
E258_8fd82b2e,工业机器人技术,工学,E258,RI,50.0,0.85,,,,,
E258_41c06279,无人机应用技术,工学,E258,RI,50.0,0.85,,,,,
E258_bd299fd9,网络营销与直播电商,工学,E258,RI,50.0,0.85,,,,,
E258_e62376d6,旅游管理,管理学,E258,EC,50.0,0.85,,,,,
E258_251a2590,西式烹饪工艺,工学,E258,RI,50.0,0.85,,,,,
E258_b3f12b93,学前教育,教育学,E258,SI,50.0,0.85,,,,,
E061_6ed44a2b,电力系统自动化技术,工学,E061,RI,50.0,0.85,,,,,
E061_6ce5acd1,发电厂及电力系统,工学,E061,RI,50.0,0.85,,,,,
E061_e4aa03d5,电力系统继电保护技术,工学,E061,RI,50.0,0.85,,,,,
E061_17add3f2,机电一体化技术,工学,E061,RI,50.0,0.85,,,,,
B311_481e1720,商务英语,文学,B311,AS,50.0,0.85,,,,,
B311_46249963,传播学,文学,B311,AS,50.0,0.85,,,,,
B311_94c9df6e,风景园林,农学,B311,RI,50.0,0.85,,,,,
B311_fed416a3,数字媒体技术,工学,B311,RI,50.0,0.85,,,,,
B311_5de8b6c9,物联网工程,工学,B311,RI,50.0,0.85,,,,,
B311_1ef2cd87,网络空间安全,工学,B311,RI,50.0,0.85,,,,,
B311_a3e72b7e,电子商务,管理学,B311,EC,50.0,0.85,,,,,
B311_635cbd00,数字经济,经济学,B311,IE,50.0,0.85,,,,,
B311_d7ee9e3c,智能建造与智慧交通,工学,B311,RI,50.0,0.85,,,,,
B311_49ba25b1,土木工程,工学,B311,RI,50.0,0.85,,,,,
B122_c8322f96,知识产权,法学,B122,SE,50.0,0.85,,,,,
B122_aa3f7342,英语,文学,B122,AS,50.0,0.85,,,,,
B122_65072ce5,国际经济与贸易,经济学,B122,IE,50.0,0.85,,,,,
B122_4256513d,财务管理,管理学,B122,EC,50.0,0.85,,,,,
B122_0f68690e,投资学,经济学,B122,IE,50.0,0.85,,,,,
B122_49935f0b,供应链管理,管理学,B122,EC,50.0,0.85,,,,,
B122_587a3e69,跨境电子商务,管理学,B122,EC,50.0,0.85,,,,,
B122_7fbd0f87,广告学,文学,B122,AS,50.0,0.85,,,,,
B122_e62376d6,旅游管理,管理学,B122,EC,50.0,0.85,,,,,
B122_2c7dc49e,电气工程及其自动化,工学,B122,RI,50.0,0.85,,,,,
B122_9a8524b9,软件工程,工学,B122,RI,50.0,0.85,,,,,
B122_9aaf36a4,机械设计制造及其自动化,艺术学,B122,AE,50.0,0.85,,,,,
B122_39f857b3,网络工程,工学,B122,RI,50.0,0.85,,,,,
B122_53ffbecd,智能车辆工程,工学,B122,RI,50.0,0.85,,,,,
B122_c7d86068,人工智能,工学,B122,RI,50.0,0.85,,,,,
B122_d7ee9e3c,智能建造与智慧交通,工学,B122,RI,50.0,0.85,,,,,
B122_49ba25b1,土木工程,工学,B122,RI,50.0,0.85,,,,,
E606_4d592074,现代殡葬技术与管理,管理学,E606,EC,50.0,0.85,,,,,
E606_4ffb6364,中文,文学,E606,AS,50.0,0.85,,,,,
E606_5ea08cb5,智慧健康养老服务与管理,管理学,E606,EC,50.0,0.85,,,,,
E606_c915fa39,大数据技术,工学,E606,RI,50.0,0.85,,,,,
E606_343fb6f6,统计与会计核算,管理学,E606,EC,50.0,0.85,,,,,
E606_4327f0ad,应急救援技术,工学,E606,RI,50.0,0.85,,,,,
E606_46129690,电子商务,管理学,E606,EC,50.0,0.85,,,,,
E606_46a4a68a,社会工作,工学,E606,RI,50.0,0.85,,,,,
E606_3994e6bc,商务数据分析与应用,工学,E606,RI,50.0,0.85,,,,,
E606_b3f12b93,学前教育,教育学,E606,SI,50.0,0.85,,,,,
A842_9fd779fd,大数据与会计,管理学,A842,EC,50.0,0.85,,,,,
A842_17add3f2,机电一体化技术,工学,A842,RI,50.0,0.85,,,,,
A842_8827f1aa,机械制造及自动化,工学,A842,RI,50.0,0.85,,,,,
A842_25826e66,软件技术,工学,A842,RI,50.0,0.85,,,,,
A851_9fd779fd,大数据与会计,管理学,A851,EC,50.0,0.85,,,,,
A851_a02a9de7,关务与外贸服务,工学,A851,RI,50.0,0.85,,,,,
A851_46129690,电子商务,管理学,A851,EC,50.0,0.85,,,,,
A851_d5128dd5,广播影视节目制作,艺术学,A851,AE,50.0,0.85,,,,,
A851_e0c7e175,汽车检测与维修技术,工学,A851,RI,50.0,0.85,,,,,
A851_5ea08cb5,智慧健康养老服务与管理,管理学,A851,EC,50.0,0.85,,,,,
A851_8fd82b2e,工业机器人技术,工学,A851,RI,50.0,0.85,,,,,
A851_a9cc3c82,护理,医学,A851,IS,50.0,0.85,,,,,
A851_8827f1aa,机械制造及自动化,工学,A851,RI,50.0,0.85,,,,,
A851_c915fa39,大数据技术,工学,A851,RI,50.0,0.85,,,,,
A851_ed875a16,计算机应用技术,工学,A851,RI,50.0,0.85,,,,,
A851_69b2c5f6,新能源汽车技术,工学,A851,RI,50.0,0.85,,,,,
A851_162406a4,集成电路技术,工学,A851,RI,50.0,0.85,,,,,
A851_a08c050c,人工智能技术应用,工学,A851,RI,50.0,0.85,,,,,
A851_d8ef589f,信息安全技术应用,工学,A851,RI,50.0,0.85,,,,,
A851_2285f991,婴幼儿托育服务与管理,管理学,A851,EC,50.0,0.85,,,,,
A851_91598c60,智能网联汽车技术,工学,A851,RI,50.0,0.85,,,,,
A851_b3f12b93,学前教育,教育学,A851,SI,50.0,0.85,,,,,
A851_b2c69533,空中乘务,工学,A851,RI,50.0,0.85,,,,,
A851_b9d45e04,民航运输服务,工学,A851,RI,50.0,0.85,,,,,
A851_76b07ba9,民航空中安全保卫,工学,A851,RI,50.0,0.85,,,,,
C915_a9cc3c82,护理,医学,C915,IS,50.0,0.85,,,,,
C915_c86bfcf2,金融科技应用,经济学,C915,IE,50.0,0.85,,,,,
C915_a97f75a5,机器人技术,工学,C915,RI,50.0,0.85,,,,,
C915_618c6a63,企业数字化管理,管理学,C915,EC,50.0,0.85,,,,,
C915_9fd779fd,大数据与会计,管理学,C915,EC,50.0,0.85,,,,,
C915_dbfccb34,烹饪与餐饮管理,管理学,C915,EC,50.0,0.85,,,,,
C915_997d9ddc,全媒体电商运营,工学,C915,RI,50.0,0.85,,,,,
C915_5eef7754,汽车服务工程技术,工学,C915,RI,50.0,0.85,,,,,
C915_a075fcbd,现代物流管理,管理学,C915,EC,50.0,0.85,,,,,
C915_650a9f55,食品质量与安全,工学,C915,RI,50.0,0.85,,,,,
C915_14404901,大数据工程技术,工学,C915,RI,50.0,0.85,,,,,
C915_52aa0fe2,物联网工程技术,工学,C915,RI,50.0,0.85,,,,,
C915_2ddd2196,数字媒体技术,工学,C915,RI,50.0,0.85,,,,,
C915_1b294bf6,工程造价,工学,C915,RI,50.0,0.85,,,,,
C915_8423cad7,智能制造工程技术,工学,C915,RI,50.0,0.85,,,,,
C915_ca47934a,人工智能工程技术,工学,C915,RI,50.0,0.85,,,,,
C915_1167b01b,建筑工程,工学,C915,RI,50.0,0.85,,,,,
C915_3ce36cc8,合成生物技术,工学,C915,RI,50.0,0.85,,,,,
C915_8a95c0e9,食品营养与健康,工学,C915,RI,50.0,0.85,,,,,
C915_41c06279,无人机应用技术,工学,C915,RI,50.0,0.85,,,,,
C915_ed875a16,计算机应用技术,工学,C915,RI,50.0,0.85,,,,,
C915_54c9cf51,生物制药技术,工学,C915,RI,50.0,0.85,,,,,
C915_556478ba,金融服务与管理,经济学,C915,IE,50.0,0.85,,,,,
C915_9827507d,应用英语,文学,C915,AS,50.0,0.85,,,,,
C915_e62376d6,旅游管理,管理学,C915,EC,50.0,0.85,,,,,
C915_49331c0e,食品质量与安全,工学,C915,RI,50.0,0.85,,,,,
A268_13c93f5b,中医学,医学,A268,IS,50.0,0.85,,,,,
A268_c3bd247c,中药学,医学,A268,IS,50.0,0.85,,,,,
A248_e8d2189a,电子信息类,工学,A248,RI,50.0,0.85,,,,,
A248_c7d86068,人工智能,工学,A248,RI,50.0,0.85,,,,,
