score,rank
639,1679
640,1618
641,1555
642,1489
643,1410
644,1354
645,1299
646,1252
647,1187
648,1138
649,1091
650,1045
651,1007
652,954
653,906
654,867
655,821
656,777
657,749
658,706
659,673
660,634
661,603
662,571
663,533
664,498
665,460
666,438
667,417
668,390
669,370
670,351
671,332
672,312
673,299
674,277
675,256
676,229
677,202
678,183
679,166
680,149
681,138
682,125
683,117
684,112
685,107
686,97
687,91
688,84
689,80
690,76
691,69
692,59
693,53
694,49
695,44
696,37
697,30
698,25
699,23
700,19
701,16
702,14
703,12
704,11
